id,rank,symbol,name,supply,maxSupply,priceUsd,changePercent24Hr,explorer
curve-dao-token,87,CRV,Curve DAO Token,1190444793.0,,0.29,8.21,https://etherscan.io/token/0xD533a949740bb3306d119CC777fa900bA034cd52
iotex,88,IOTX,IoTeX,9441372454.0,10000000000.0,0.03,-0.19,https://etherscan.io/token/0x6fb3e0a217407efff7ca062d46c26e5d60a14d69
synthetix-network-token,89,SNX,Synthetix,233716733.49,212424133.0,1.37,5.42,https://etherscan.io/token/0xc011a72400e58ecd99ee497cf89e3775d4bd732f
kava,90,KAVA,Kava,1082854748.0,,0.3,0.11,https://www.mintscan.io/kava
superfarm,91,SUPER,SuperVerse,487976093.42,1000000000.0,0.64,-3.68,https://etherscan.io/token/0xe53ec727dbdeb9e2d5456c3be40cff031ab40a55
xinfin-network,92,XDC,XinFin Network,12293293518.55,,0.03,-1.94,https://etherscan.io/token/0x41ab1b6fcbb2fa9dced81acbdec13ea6315f2bf2
amp,93,AMP,Amp,80722574661.29,,0.0,-0.15,
dash,94,DASH,Dash,11944285.04,18900000.0,23.93,-2.89,https://explorer.dash.org
just,95,JST,JUST,9900000000.0,9900000000.0,0.03,-0.12,https://tronscan.org/#/token20/TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9
kusama,96,KSM,Kusama,15420435.48,,18.01,1.31,https://kusama.subscan.io/
sun-token,97,SUN,Sun (New),9951640722.0,,0.03,-10.02,https://tronscan.org/#/token20/TSSMHYeV2uE9qYH95DqyoCuNCzEL1NvU3S
holo,98,HOT,Holo,173776360397.95,,0.0,-0.81,https://etherscan.io/token/0x6c6ee5e31d828de241282b9606c8e98ea48526e2
wootrade,99,WOO,WOO,1822998252.57,,0.15,3.49,https://etherscan.io/token/0x4691937a7508860f876c9c0a2a617e7d9e945d4b
aelf,100,ELF,aelf,732639776.03,,0.36,-0.31,https://etherscan.io/token/0xbf2179859fc6D5BEE9Bf9158632Dc51678a4100e
